season,position,checkpoint,selectedHistoryWeight,validationBlocks,validationMae,validationPaceMae,validationImprovementPctVsPace
2025,TE,12,0.25,12,50.812100327755665,51.06855431501923,0.5021759294019003
2014,WR,4,0.0,1,200.15958919868012,200.15958919868012,0.0
2015,WR,4,0.75,2,178.45369077390748,188.98745270377364,5.573789042163128
2016,WR,4,0.75,3,173.0859150724399,184.60430522365894,6.23950245215779
2017,WR,4,1.0,4,172.69001886387184,186.85811097230228,7.582273006351091
2018,WR,4,1.0,5,169.8001907538145,184.01962276546317,7.727128117076753
2019,WR,4,1.0,6,166.26095800188236,185.90255834016565,10.565535253335769
2020,WR,4,1.0,7,167.28435920349241,187.2624300184282,10.668488501922024
2021,WR,4,1.0,8,166.33163146144864,185.00783393561173,10.09481710956249
2022,WR,4,1.0,9,167.71394723815519,186.71505162938263,10.1765252588974
2023,WR,4,1.0,10,165.89819578176426,186.35115482997577,10.975493587293574
2024,WR,4,1.0,11,164.72420442569813,185.20938820474396,11.060553667182363
2025,WR,4,1.0,12,164.74957589551084,184.53495052491,10.721749225888978
2014,WR,8,0.0,1,110.46091879560191,110.46091879560191,0.0
2015,WR,8,0.5,2,107.91809749521462,110.4061805016509,2.253572214101787
2016,WR,8,0.5,3,114.42374678194943,116.95200652522084,2.161792532158209
2017,WR,8,0.75,4,114.36774156871375,117.38383470300568,2.5694280152995312
2018,WR,8,0.5,5,113.91088864002263,115.95304793007918,1.7611950065236643
2019,WR,8,0.75,6,114.37672748877355,117.48294603416132,2.64397399813633
2020,WR,8,0.75,7,115.72487085904348,119.68506450001259,3.3088453079028026
2021,WR,8,0.75,8,116.13813319653612,119.69059339795581,2.968036251276839
2022,WR,8,0.75,9,116.02158923547343,120.26867897100786,3.5313348179023736
2023,WR,8,0.75,10,115.09841512071331,119.30575824346302,3.5265214225150223
2024,WR,8,0.75,11,114.37362752988807,118.47703716237639,3.4634640861793953
2025,WR,8,0.75,12,114.91308996829233,118.94113662460002,3.3865883332029574
2014,WR,12,0.0,1,72.83938363880418,72.83938363880418,0.0
2015,WR,12,0.0,2,72.7843388442159,72.7843388442159,0.0
2016,WR,12,0.0,3,72.80951257581344,72.80951257581344,0.0
2017,WR,12,0.0,4,72.14203361958177,72.14203361958177,0.0
2018,WR,12,0.0,5,71.32034532546696,71.32034532546696,0.0
2019,WR,12,0.25,6,72.72964536086522,72.80530770406969,0.10392421320711089
2020,WR,12,0.25,7,72.30394807558238,72.51296402768196,0.2882463224366124
2021,WR,12,0.25,8,72.42007013468935,72.54471900093938,0.1718234875903411
2022,WR,12,0.25,9,72.66638750846974,72.77872798433383,0.15435894385000723
2023,WR,12,0.25,10,72.61581949348923,72.78066948656836,0.2265024411592604
2024,WR,12,0.25,11,72.10332512903163,72.3361089431892,0.3218085926357929
2025,WR,12,0.25,12,72.00126917733049,72.20941266108625,0.28824979470845513
