season,position,checkpoint,historyOnlyWeight,selectedHistoryWeight,selectedEnvironmentGroup,historyValidationMae,selectedValidationMae,validationBlocks
2016,WR,12,0.0,0.0,,72.80951257581344,72.80951257581344,3
2017,WR,12,0.0,0.0,,72.14203361958178,72.14203361958178,4
2018,WR,12,0.0,0.0,,71.32034532546697,71.32034532546697,5
2019,WR,12,0.25,0.25,,72.72964536086522,72.72964536086522,6
2020,WR,12,0.25,0.25,,72.30394807558237,72.30394807558237,7
2021,WR,12,0.25,0.25,,72.42007013468935,72.42007013468935,8
2022,WR,12,0.25,0.25,,72.66638750846973,72.66638750846973,9
2023,WR,12,0.25,0.25,,72.61581949348921,72.61581949348921,10
2024,WR,12,0.25,0.25,,72.10332512903163,72.10332512903163,11
2025,WR,12,0.25,0.25,,72.00126917733047,72.00126917733047,12
