season,position,checkpoint,historyEnabled,rateFeatureCount,selectedAvailabilityStrategy,availabilityFeatureCount,validationBlocks,validationMae,validationGamesMae
2016,RB,8,False,0,current_availability,1,3,168.26787903250803,1.8074739829706719
2017,RB,8,False,0,health_knn,13,4,165.34463565969156,1.9709344557883024
2018,RB,8,False,0,health_knn,13,5,169.2107306512668,1.981893299561934
2019,RB,8,False,0,health_knn,13,6,169.5420076159898,1.9695377614673808
2020,RB,8,False,0,health_knn,13,7,170.16268531329945,1.9508843659105346
2021,RB,8,False,0,health_knn,13,8,167.31044029317758,1.9502133028099813
2022,RB,8,False,0,health_knn,13,9,170.2289628889694,1.9481978230054762
2023,RB,8,False,0,health_knn,13,10,170.40700073233796,1.9760456928005976
2024,RB,8,False,0,health_knn,13,11,167.5246424645006,1.9802596662117349
2025,RB,8,False,0,health_knn,13,12,165.54268618193083,1.9548584259929442
2014,RB,12,False,0,full_available,0,1,100.6357861048228,1.18348623853211
2015,RB,12,False,0,current_availability,1,2,87.36725663716814,1.0772325020112632
2016,RB,12,False,0,current_availability,1,3,93.29959294436907,1.1272727272727272
2017,RB,12,False,0,current_availability,1,4,94.06826655819943,1.1347027320181682
2018,RB,12,False,0,current_availability,1,5,94.88350900307422,1.1215963987703117
2019,RB,12,False,0,health_knn,13,6,97.15649876779857,1.2836475577347308
2020,RB,12,False,0,health_knn,13,7,97.59128919880321,1.276117357167858
2021,RB,12,False,0,health_knn,13,8,97.39396737220412,1.2790656320621332
2022,RB,12,False,0,health_knn,13,9,99.01658347404306,1.3018822179772602
2023,RB,12,False,0,health_knn,13,10,99.9646857801596,1.3265526921309923
2024,RB,12,False,0,health_knn,13,11,99.37616696412708,1.3389803520898382
2025,RB,12,False,0,health_knn,13,12,99.38113579150873,1.3348776280046404
2014,TE,4,True,13,full_available,0,1,174.02,2.72
2015,TE,4,True,13,health_knn,13,2,149.6832641433292,2.264855496608994
2016,TE,4,True,13,health_knn,13,3,145.099086085861,2.239238155796839
2017,TE,4,True,13,health_knn,13,4,137.20692287057594,2.2879287988826786
2018,TE,4,True,13,health_knn,13,5,129.64960803626417,2.260049316666422
2019,TE,4,True,13,health_knn,13,6,132.0242123544081,2.3454387776813896
2020,TE,4,True,13,health_knn,13,7,132.98648818224683,2.3834561840038058
2021,TE,4,True,13,health_knn,13,8,131.50474500370177,2.3786016924848936
2022,TE,4,True,13,health_knn,13,9,130.08316401525087,2.4186291313220423
2023,TE,4,True,13,health_knn,13,10,131.25504024461102,2.4260733403668473
2024,TE,4,True,13,health_knn,13,11,132.75701928273756,2.3902154279937147
2025,TE,4,True,13,health_knn,13,12,135.40602167502084,2.369770835068363
2014,TE,8,True,13,full_available,0,1,111.33962053571429,2.375
2015,TE,8,True,13,health_knn,13,2,89.5146009161405,1.6360422418586011
2016,TE,8,True,13,health_knn,13,3,89.02576218481107,1.7832728165422969
2017,TE,8,True,13,health_knn,13,4,89.39133449591819,1.7831903166405632
2018,TE,8,True,13,health_knn,13,5,85.10416321576251,1.7628835853266398
2019,TE,8,True,13,health_knn,13,6,85.52119687114424,1.8242607015730574
2020,TE,8,True,13,health_knn,13,7,85.81853443680424,1.8624368629320436
2021,TE,8,True,13,health_knn,13,8,83.45037011347802,1.8876404272533167
2022,TE,8,True,13,health_knn,13,9,83.36268288069695,1.918755526749721
2023,TE,8,True,13,health_knn,13,10,82.7793532397276,1.9224544356392155
2024,TE,8,True,13,health_knn,13,11,83.36508971070704,1.9068621855831511
