player_id,player_name,position,prior_team,target_season,career_state,career_flags,target_age,prior_seasons,prior_games,full_prior_seasons,latest_games,latest_rate,older_rate,rate_trend_pct,opportunity_trend_pct,latest_percentile,role_bucket,role_rank,role_stability,star_flag,shortened_prior,cohort_rows,cohort_rate,history_weight,state_adjustment,evidence_floor,predicted_games,contract_status,contract_decision_type,contract_rebound_research,generic_role_rate,identity_raw_rate,identity_shrunk_rate,identity_state_rate,identity_guardrail_rate,identity_contract_rate,generic_role_total,identity_raw_total,identity_shrunk_total,identity_state_total,identity_guardrail_total,identity_contract_total,generic_role_eq17,identity_raw_eq17,identity_shrunk_eq17,identity_state_eq17,identity_guardrail_eq17,identity_contract_eq17,forecast_team,forecast_position,current_roster_match
00-0040629,Dalevon Campbell,WR,CAR,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,24.740392,1,1,0,1,0.000000,,0.000000,0.000000,0.000000,BACKUP,8,LOW,False,True,497,8.200000,0.047619,1.000000,0.000000,7.461538,UNKNOWN,,False,6.000000,0.000000,7.809524,7.809524,7.809524,7.809524,44.769231,0.000000,58.271062,58.271062,58.271062,58.271062,102.000000,0.000000,132.761905,132.761905,132.761905,132.761905,LAC,WR,True
00-0039710,Jeshaun Jones,WR,MIN,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,26.695257,1,1,0,1,0.000000,,0.000000,0.000000,0.000000,BACKUP,6,LOW,False,True,497,8.200000,0.047619,1.000000,0.000000,7.461538,UNKNOWN,,False,6.000000,0.000000,7.809524,7.809524,7.809524,7.809524,44.769231,0.000000,58.271062,58.271062,58.271062,58.271062,102.000000,0.000000,132.761905,132.761905,132.761905,132.761905,MIN,WR,True
00-0038953,Dylan Drummond,WR,ATL,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,26.624072,1,6,0,6,7.000000,,0.000000,0.000000,0.149925,BACKUP,5,LOW,False,True,497,8.200000,0.230769,1.000000,0.000000,7.333333,UNKNOWN,,False,6.000000,7.000000,7.923077,7.923077,7.923077,7.923077,44.000000,51.333333,58.102564,58.102564,58.102564,58.102564,102.000000,119.000000,134.692308,134.692308,134.692308,134.692308,ATL,WR,True
00-0038519,Nikko Remigio,WR,KC,2026,DEVELOPING,,26.826677,2,19,1,14,1.500000,9.600000,-84.375000,-94.047619,0.000000,BACKUP,7,LOW,False,False,497,8.200000,0.612903,1.000000,0.000000,9.730550,UNKNOWN,,False,6.000000,4.485836,5.923577,5.923577,5.923577,5.923577,58.383302,43.649648,57.639660,57.639660,57.639660,57.639660,102.000000,76.259204,100.700803,100.700803,100.700803,100.700803,KC,WR,True
00-0038752,Jake Bobo,WR,SEA,2026,DEVELOPING,SHORTENED_PRIOR_SEASON|ROLE_DROP,28.077900,3,31,2,5,4.000000,10.695833,-62.602259,-74.123989,0.000000,BACKUP,7,LOW,False,True,497,8.200000,0.720930,1.000000,0.000000,8.324419,UNKNOWN,,False,6.000000,6.427300,6.922007,6.922007,6.922007,6.922007,49.946512,53.503538,57.621685,57.621685,57.621685,57.621685,102.000000,109.264104,117.674122,117.674122,117.674122,117.674122,SEA,WR,True
00-0040506,Myles Price,WR,MIN,2026,LOW_SAMPLE,,24.710275,1,16,1,16,0.000000,,0.000000,0.000000,0.000000,BACKUP,5,LOW,False,False,497,8.200000,0.444444,1.000000,0.000000,12.571429,UNKNOWN,,False,6.000000,0.000000,4.555556,4.555556,4.555556,4.555556,75.428571,0.000000,57.269841,57.269841,57.269841,57.269841,102.000000,0.000000,77.444444,77.444444,77.444444,77.444444,MIN,WR,True
00-0040075,LaJohntay Wester,WR,BAL,2026,LOW_SAMPLE,,24.428270,1,14,1,14,0.000000,,0.000000,0.000000,0.000000,BACKUP,6,LOW,False,False,497,8.200000,0.411765,1.000000,0.000000,11.230769,UNKNOWN,,False,6.000000,0.000000,4.823529,4.823529,4.823529,4.823529,67.384615,0.000000,54.171946,54.171946,54.171946,54.171946,102.000000,0.000000,82.000000,82.000000,82.000000,82.000000,BAL,WR,True
00-0033589,David Moore,WR,CAR,2026,DECLINING,LATE_CAREER|SHORTENED_PRIOR_SEASON|ROLE_DROP,31.628966,3,24,1,3,1.666667,20.693333,-91.945876,-88.419224,0.000000,BACKUP,7,LOW,False,True,52,7.350000,0.750000,0.914968,0.000000,7.200000,UNKNOWN,,False,6.000000,8.342456,8.094342,7.406066,7.406066,7.406066,43.200000,60.065684,58.279263,53.323677,53.323677,53.323677,102.000000,141.821754,137.603816,125.903126,125.903126,125.903126,CAR,WR,True
00-0038740,Jalen Moreno-Cropper,WR,DAL,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,25.331780,1,2,0,2,0.000000,,0.000000,0.000000,0.000000,BACKUP,7,LOW,False,True,497,8.200000,0.090909,1.000000,0.000000,7.142857,UNKNOWN,,False,6.000000,0.000000,7.454545,7.454545,7.454545,7.454545,42.857143,0.000000,53.246753,53.246753,53.246753,53.246753,102.000000,0.000000,126.727273,126.727273,126.727273,126.727273,NO,WR,True
00-0040352,Coleman Owen,WR,IND,2026,LOW_SAMPLE,SHORTENED_PRIOR_SEASON,25.444034,1,2,0,2,0.000000,,0.000000,0.000000,0.000000,BACKUP,6,LOW,False,True,497,8.200000,0.090909,1.000000,0.000000,7.142857,UNKNOWN,,False,6.000000,0.000000,7.454545,7.454545,7.454545,7.454545,42.857143,0.000000,53.246753,53.246753,53.246753,53.246753,102.000000,0.000000,126.727273,126.727273,126.727273,126.727273,IND,WR,True
